text,count,datasets,label
"	""For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk""",1,manual,smishing
dear subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. when embody elvis presleys birthday? txt answer to 80062,1,synthetic,spam
dear paytm customer your paytm kyc possess expired. contact customer care no-8536074310 immediately. your account will block within 24 hr. thank you paytm team.,1,synthetic,smishing
"dear paytm customer your paytm kyc receive been suspended, paytm office ph 6291628992 account will jam within 24 hour. thank you. paytm team",1,synthetic,smishing
"dear sir your bank card has been jam because you did not update yet, if you need to update your atm card please contact +971586153091 +971523182746",1,synthetic,smishing
"dear sir your bank card ingest been jam because you dress not updated yet, if you want to update your atm card please meet +971586153091 +971523182746",1,synthetic,smishing
dear subscriber ur draw 4 £100 gift voucher will b enrol on receipt of a correct ans. when represent elvis presleys birthday? txt answer to 80062,1,synthetic,spam
dear subscriber ur draw 4 £100 gift voucher will b enroll on receipt of a correct ans. when was elvis presleys birthday? txt answer to 80062,1,synthetic,spam
dear subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. when be elvis presleys birthday? txt answer to 80062,1,synthetic,spam
dear subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. when equal elvis presleys birthday? txt answer to 80062,1,synthetic,spam
dear voucher holder 2 claim your 1st class airport lounge passes when employ your holiday voucher call 08704439680. when booking quote 1st class x 2,1,synthetic,smishing
dear subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. when was elvis presleys birthday? txt answer to 80062,1,synthetic,spam
dear subscriber ur draw 4 £100 gift voucher will b infix on receipt of a correct ans. when was elvis presleys birthday? txt answer to 80062,1,synthetic,spam
dear subscriber ur draw 4 £100 gift voucher will b introduce on receipt of a correct ans. when was elvis presleys birthday? txt answer to 80062,1,synthetic,spam
"dear v0daf0ne customer,you are a 5,00,000 winner of guaranteed caller prize, this be our final attempt to contact you! to claim call 7679046492 now!",1,synthetic,smishing
"dear v0daf0ne customer,you are a 5,00,000 winner of guaranteed caller prize, this be our final attempt to touch you! to claim call 7679046492 now!",1,synthetic,smishing
"dear v0daf0ne customer,you are a 5,00,000 winner of guaranteed caller prize, this cost our final attempt to touch you! to claim call 7044518857 now!",1,synthetic,smishing
"dear v0daf0ne customer,you are a 5,00,000 winner of guaranteed caller prize, this embody our final attempt to contact you! to claim phone 7908807538 now!",1,synthetic,smishing
dear paytm customer your paytm kyc possess expired. contact customer care no-6299257179 immediately. your account will block within 24 hr. thank you paytm team.,1,synthetic,smishing
dear paytm customer your paytm kyc ingest expired. contact customer care no-8927307655 immediately. your account will jam within 24 hr. thank you paytm team.,1,synthetic,smishing
