text,label,in_manual
Hi! You just spoke to DEEPAK. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,True
Yay can't wait to party together!,ham,True
At what time are you coming.,ham,True
"Dear customer your PAY2TMKYC has been expired, It�s will be bl0cked within 24 hour, please contact customer! Care ph� 6200992462 immediately to verify",smishing,True
Yo you around? A friend of mine's lookin to pick up later tonight,ham,True
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552.,smishing,True
Where are you call me.,ham,True
Anytime...,ham,True
Just wait till end of march when el nino gets himself. Oh.,ham,True
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only ..To stop go2 notxt.co.uk,spam,True
I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,ham,True
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",ham,True
When ü login dat time... Dad fetching ü home now?,ham,True
We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,spam,True
What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,ham,True
"Todays Vodafone numbers ending 5263 are selected to receive a Rs.2,00,000 award. If you have a match please call 6200992462 quoting claim code 4267 standard rates apply",smishing,True
"Hm good morning, headache anyone? :-)",ham,True
I know a few people I can hit up and hit to the yes,ham,True
Now GET RID OF -Cockroach -Termite -Bedbug -Rats -Any Pest 4Best DEALS in PestControlServices/ Chemical/Herbal/Odorless DIAL-N-ASK 080-62222222,spam,True
Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,ham,True
Ay wana meet on sat?ü wkg on sat?,ham,True
Ok no prob... I'll come after lunch then...,ham,True
No calls..messages..only missed calls,ham,True
"Received, understood n acted upon!",ham,True
K.k:)when are you going?,ham,True
Jus came back fr lunch wif my sis only. U leh?,ham,True
I want to be inside you every night...,ham,True
Do you work all this week ?,ham,True
"Dear Sir Your Bank card has been blocked because you did not updated yet, If you want to update your ATM card please contact +971586153091 +971523182746",smishing,True
Ugh. Gotta drive back to sd from la. My butt is sore.,ham,True
Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,ham,True
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",ham,True
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam,True
Mode men or have you left.,ham,True
Goin to workout lor... Muz lose e fats...,ham,True
"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",ham,True
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam,True
"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)",ham,True
Yes! How is a pretty lady like you single?,ham,True
Have you not finished work yet or something?,ham,True
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",smishing,True
Thats cool. Where should i cum? On you or in you? :),ham,True
Okay same with me. Well thanks for the clarification,ham,True
"Just dropped em off, omw back now",ham,True
Yup i've finished c ü there...,ham,True
"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",ham,True
"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",ham,True
Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,ham,True
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,smishing,True
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,True
"who is the murderer, coz the man was murdered on  26th January.. As public holiday �",ham,True
Ü mean it's confirmed... I tot they juz say oni... Ok then...,ham,True
"Dude u knw also telugu..thts gud..k, gud nyt..",ham,True
XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,smishing,True
	**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,spam,True
Dont let studying stress you out. L8r.,ham,True
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,spam,True
"K I'll head out in a few mins, see you there",ham,True
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,smishing,True
Which channel:-):-):):-).,ham,True
Oh yeah! And my diet just flew out the window,ham,True
You intrepid duo you! Have a great time and see you both soon.,ham,True
"fyi I'm at usf now, swing by the room whenever",ham,True
Are you wet right now?,ham,True
:-( that's not v romantic!,ham,True
Win a £1000 cash prize or a prize worth £5000,smishing,True
Those ducking chinchillas,ham,True
He remains a bro amongst bros,ham,True
Yes. Nigh you cant aha.,ham,True
Ok�smart work!!,ham,True
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),ham,True
Then what about further plan?,ham,True
So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,ham,True
	Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,smishing,True
I don't know but I'm raping dudes at poker,ham,True
	Call FREEPHONE 0800 542 0578 now!,smishing,True
"Jus chillaxin, what up",ham,True
hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,ham,True
K..give back my thanks.,ham,True
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",ham,True
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,ham,True
Lol or I could just starve and lose a pound by the end of the day.,ham,True
"	Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18call 08718728876",smishing,True
You'd like that wouldn't you? Jerk!,ham,True
Serious? What like proper tongued her,ham,True
on hen night. Going with a swing,ham,True
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net,spam,True
Super da:)good replacement for murali,ham,True
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",ham,True
"Hi, my love! How goes that day? this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",ham,True
I know you mood off today,ham,True
Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,ham,True
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",spam,True
When u wana see it then,ham,True
"Urgent Message for CIBC Account Holder, Kindly login to confirm your login information Login to our secure server to check your information http://cibc.mobileupdate.granpianostudio.com/cibcfullz/Internet Support",smishing,True
Will you be here for food,ham,True
No let me do the math. Your not good at it.,ham,True
No no:)this is kallis home ground.amla home town is durban:),ham,True
"As in missionary hook up, doggy hook up, standing...|",ham,True
"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X",ham,True
I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,ham,True
"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",ham,True
Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,ham,True
todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,smishing,True
"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",ham,True
Audrie lousy autocorrect,ham,True
"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",ham,True
Was it something u ate?,ham,True
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,ham,True
What time you thinkin of goin?,ham,True
Want to finally have lunch today?,ham,True
We have identified some unusual activity on your online banking. Please log in via the secure link http:owly/nPyL308KyWG to avoid account suspension,smishing,True
Thanx but my birthday is over already.,ham,True
The hair cream has not been shipped.,ham,True
Hanging out with my brother and his family,ham,True
Where are the garage keys? They aren't on the bookshelf,ham,True
What Today-..sunday is holiday..so no work..,ham,True
I'm ok. Will do my part tomorrow,ham,True
Yes just finished watching days of our lives. I love it.,ham,True
Cool. I am  &lt;#&gt;  inches long. hope you like them big!,ham,True
She's borderline but yeah whatever.,ham,True
He needs to stop going to bed and make with the  dealing,ham,True
Have you always been saying welp?,ham,True
Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,ham,True
Yeah that's the impression I got,ham,True
	U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam,True
"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",ham,True
For sale - arsenal dartboard. Good condition but no doubles or trebles!,spam,True
Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,ham,True
Was doing my test earlier. I appreciate you. Will call you tomorrow.,ham,True
I reach home safe n sound liao...,ham,True
	Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,smishing,True
Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,ham,True
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 8927307655 Now! ",smishing,True
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham,True
I'm in a movie. Call me 4 wat?,ham,True
Nope... C ü then...,ham,True
"In the Open Lucky Draw Contest And You Are The Winner 0f Tata Saafari (12,60000). Contact-997330199 -2294871295. More Information https://bit.ly/32ZwcQ5",smishing,True
I will be gentle baby! Soon you will be taking all ..,ham,True
Hmmm:)how many players selected?,ham,True
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,ham,True
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,True
Its normally hot mail. Com you see!,ham,True
Dear where you. Call me,ham,True
Okie..good news!!,ham,True
"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",ham,True
Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,ham,True
I love to give massages. I use lots of baby oil... What is your fave position?,ham,True
I WILL CAL YOU SIR. In meeting,ham,True
"Cool, I'll text you when I'm on the way",ham,True
"Solve d Case : A Man Was Found Murdered On  16 April,   AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer..who is it?",ham,True
Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,ham,True
Hi darlin did youPhone me? Im atHome if youwanna chat.,ham,True
I'm also came to room.,ham,True
THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,ham,True
For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,ham,True
;-) ok. I feel like john lennon.,ham,True
"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",ham,True
Are you comingdown later?,ham,True
"Ya tel, wats ur problem..",ham,True
Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,ham,True
Lol. Well quality aint bad at all so i aint complaining,ham,True
"Oops I did have it,  &lt;#&gt; ?",ham,True
Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,ham,True
Dad went out oredi...,ham,True
Nationwide auto centre (or something like that) on Newport road. I liked them there,ham,True
Networking technical support associate.,ham,True
I like dis sweater fr mango but no more my size already so irritating.,ham,True
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,spam,True
.Please charge my mobile when you get up in morning.,ham,True
Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,ham,True
Good morning pookie pie! Lol hope I didn't wake u up,ham,True
Lolnice. I went from a fish to ..water.?,ham,True
Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,ham,True
