dataset_source,label,text,text_clean,has_url,has_email,has_phone
synthetic,ham,Hi! You just spoke to DEEPAK. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Hi! You just spoke to DEEPAK. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,0,0
synthetic,ham,Yay can't wait to party together!,Yay can't wait to party together!,0,0,0
synthetic,ham,At what time are you coming.,At what time are you coming.,0,0,0
synthetic,smishing,"Dear customer your PAY2TMKYC has been expired, It�s will be bl0cked within 24 hour, please contact customer! Care ph� 6200992462 immediately to verify","Dear customer your PAY2TMKYC has been expired, It�s will be bl0cked within 24 hour, please contact customer! Care ph� 6200992462 immediately to verify",0,0,1
synthetic,ham,Yo you around? A friend of mine's lookin to pick up later tonight,Yo you around? A friend of mine's lookin to pick up later tonight,0,0,0
synthetic,smishing,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552.,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552.,0,0,1
synthetic,ham,Where are you call me.,Where are you call me.,0,0,0
synthetic,ham,Anytime...,Anytime...,0,0,0
synthetic,ham,Just wait till end of march when el nino gets himself. Oh.,Just wait till end of march when el nino gets himself. Oh.,0,0,0
synthetic,spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only ..To stop go2 notxt.co.uk,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only ..To stop go2 notxt.co.uk,0,0,0
synthetic,ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,0,0,0
synthetic,ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.","It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",0,0,0
synthetic,ham,When ü login dat time... Dad fetching ü home now?,When ü login dat time... Dad fetching ü home now?,0,0,0
synthetic,spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,0,0,0
